606 367 13964259802 9.6 0 48 5 
751 487 13964259908 8.0 1 32 4 
738 642 13964259972 10.2 2 51 5 
473 886 13964260035 10.25 3 41 4 
592 365 13964312093 9.6 0 48 5 
751 487 13964312152 8.0 1 32 4 
738 642 13964312201 10.2 2 51 5 
462 886 13964312249 6.83 3 41 6 
535 360 13964348578 8.0 0 48 6 
730 485 13964348638 8.0 1 32 4 
686 646 13964348687 10.2 2 51 5 
406 897 13964348736 6.83 3 41 6 
515 362 13964367248 9.6 0 48 5 
679 483 13964367307 6.4 1 32 5 
661 651 13964367356 12.75 2 51 4 
382 896 13964367404 6.83 3 41 6 
484 363 13964402480 8.0 0 48 6 
646 484 13964402542 8.0 1 32 4 
627 647 13964402597 10.2 2 51 5 
354 900 13964402648 6.83 3 41 6 
466 364 13964421100 6.86 0 48 7 
631 484 13964421153 5.33 1 32 6 
610 653 13964421208 10.2 2 51 5 
333 900 13964421256 7.75 3 62 8 
432 365 13964456346 8.0 0 48 6 
601 487 13964456398 8.0 1 32 4 
584 650 13964456454 10.2 2 51 5 
302 907 13964456508 10.33 3 62 6 
417 366 13964474856 8.0 0 48 6 
583 488 13964474915 5.33 1 32 6 
567 649 13964474965 10.2 2 51 5 
293 907 13964475018 8.86 3 62 7 
388 367 13964509981 8.0 0 48 6 
553 488 13964510033 8.0 1 32 4 
541 653 13964510084 10.2 2 51 5 
255 911 13964510138 10.33 3 62 6 
373 369 13964527520 8.0 0 48 6 
548 489 13964527578 8.0 1 32 4 
524 654 13964527635 8.5 2 51 6 
248 912 13964527692 12.4 3 62 5 
365 370 13964545503 9.6 0 48 5 
528 491 13964545560 5.33 1 32 6 
527 654 13964545615 10.2 2 51 5 
244 912 13964545669 8.86 3 62 7 
354 372 13964563169 8.0 0 48 6 
518 491 13964563226 8.0 1 32 4 
515 655 13964563281 12.75 2 51 4 
227 913 13964563337 7.75 3 62 8 
334 373 13964581416 8.0 0 48 6 
513 491 13964581473 8.0 1 32 4 
496 657 13964581529 8.5 2 51 6 
206 913 13964581584 12.4 3 62 5 
326 373 13964599371 8.0 0 48 6 
492 492 13964599427 5.33 1 32 6 
470 659 13964599482 10.2 2 51 5 
208 914 13964599536 12.4 3 62 5 
290 375 13964634560 6.86 0 48 7 
458 492 13964634617 8.0 1 32 4 
447 657 13964634672 12.75 2 51 4 
167 915 13964634727 8.86 3 62 7 
283 375 13964653026 8.0 0 48 6 
464 492 13964653082 6.4 1 32 5 
453 657 13964653137 8.5 2 51 6 
172 913 13964653192 12.4 3 62 5 
279 375 13964672774 8.0 0 48 6 
449 492 13964672830 8.83 1 53 6 
440 656 13964672885 8.5 2 51 6 
158 913 13964672939 12.4 3 62 5 
269 375 13964691449 8.0 0 48 6 
439 493 13964691508 8.83 1 53 6 
429 656 13964691564 8.5 2 51 6 
150 912 13964691620 10.33 3 62 6 
263 376 13964726383 9.6 0 48 5 
433 493 13964726442 8.83 1 53 6 
421 656 13964726500 10.2 2 51 5 
145 913 13964726555 8.86 3 62 7 
261 376 13964744091 9.6 0 48 5 
427 493 13964744148 8.83 1 53 6 
418 657 13964744202 10.2 2 51 5 
143 913 13964744256 10.33 3 62 6 
258 378 13964762088 9.6 0 48 5 
424 493 13964762145 10.6 1 53 5 
414 657 13964762200 10.2 2 51 5 
141 914 13964762255 8.86 3 62 7 
258 378 13964777299 9.6 0 48 5 
421 493 13964777365 10.6 1 53 5 
414 657 13964777420 10.2 2 51 5 
139 915 13964777478 10.33 3 62 6 
256 379 13964797755 12.0 0 48 4 
418 493 13964797811 10.6 1 53 5 
411 658 13964797866 8.5 2 51 6 
137 917 13964797919 10.33 3 62 6 
255 380 13964815946 12.0 0 48 4 
417 494 13964816002 10.6 1 53 5 
411 658 13964816058 8.5 2 51 6 
134 920 13964816113 8.86 3 62 7 
255 382 13964833599 12.0 0 48 4 
416 496 13964833656 10.6 1 53 5 
410 658 13964833712 8.5 2 51 6 
132 925 13964833767 8.86 3 62 7 
254 384 13964853061 12.0 0 48 4 
414 499 13964853118 10.6 1 53 5 
409 659 13964853174 6.38 2 51 8 
130 930 13964853229 8.86 3 62 7 
254 388 13964871852 9.6 0 48 5 
410 506 13964871909 17.67 1 53 3 
408 660 13964871964 6.38 2 51 8 
128 936 13964872018 8.86 3 62 7 
253 393 13964890902 6.86 0 48 7 
410 507 13964890958 13.25 1 53 4 
406 663 13964891013 8.5 2 51 6 
127 941 13964891068 7.75 3 62 8 
251 422 13964926030 12.0 0 48 4 
405 517 13964926090 13.25 1 53 4 
402 669 13964926146 10.2 2 51 5 
126 953 13964926204 6.89 3 62 9 
251 427 13964943918 12.0 0 48 4 
403 526 13964943979 13.25 1 53 4 
401 673 13964944035 10.2 2 51 5 
125 969 13964944090 10.33 3 62 6 
250 431 13964961021 12.0 0 48 4 
400 540 13964961078 13.25 1 53 4 
398 679 13964961180 10.2 2 51 5 
125 970 13964961244 8.86 3 62 7 
250 440 13964978828 12.0 0 48 4 
400 541 13964978885 17.67 1 53 3 
395 686 13964978940 8.5 2 51 6 
122 984 13964978994 8.86 3 62 7 
250 446 13964996664 9.6 0 48 5 
398 556 13964996721 26.5 1 53 2 
393 692 13964996794 6.38 2 51 8 
122 987 13964996854 7.75 3 62 8 
249 459 13965015723 12.0 0 48 4 
396 564 13965015781 13.25 1 53 4 
386 706 13965015831 5.1 2 51 10 
122 993 13965015879 7.75 3 62 8 
249 481 13965051698 12.0 0 48 4 
395 573 13965051753 13.25 1 53 4 
385 723 13965051812 8.5 2 51 6 
122 1011 13965051861 6.89 3 62 9 
248 479 13965069481 12.0 0 48 4 
395 582 13965069564 13.25 1 53 4 
385 722 13965069638 8.5 2 51 6 
121 1020 13965069692 8.86 3 62 7 
248 490 13965087469 12.0 0 48 4 
395 592 13965087528 17.67 1 53 3 
384 732 13965087586 7.29 2 51 7 
120 1023 13965087641 7.75 3 62 8 
248 503 13965106046 12.0 0 48 4 
392 611 13965106103 26.5 1 53 2 
381 743 13965106158 6.38 2 51 8 
120 1032 13965106213 7.75 3 62 8 
247 518 13965124364 12.0 0 48 4 
393 605 13965124421 10.6 1 53 5 
377 756 13965124476 7.29 2 51 7 
120 1039 13965124530 6.89 3 62 9 
248 545 13965159592 12.0 0 48 4 
391 641 13965159648 17.67 1 53 3 
378 783 13965159703 8.5 2 51 6 
121 1071 13965159757 10.33 3 62 6 
247 540 13965177855 9.6 0 48 5 
392 654 13965177912 26.5 1 53 2 
378 779 13965177967 7.29 2 51 7 
