512 171 168 14599656 
512 171 167 14599656 
512 171 164 14599671 
512 171 161 14599687 
512 171 159 14599687 
512 171 156 14599703 
512 172 153 14599718 
512 172 151 14599718 
512 172 148 14599734 
512 172 142 14599750 
512 172 138 14599750 
512 172 132 14599765 
512 172 127 14599781 
512 172 122 14599781 
512 172 117 14599796 
512 172 112 14599812 
512 172 108 14599812 
512 172 103 14599828 
512 172 97 14599843 
512 172 93 14599859 
512 172 89 14599859 
512 172 86 14599875 
512 172 84 14599890 
512 172 82 14599890 
512 172 79 14599906 
512 172 78 14599921 
512 172 77 14599921 
512 172 74 14599937 
512 172 73 14599953 
512 172 72 14599953 
512 172 71 14599968 
512 172 70 14599984 
512 172 69 14600000 
513 172 69 14600062 
514 172 69 14600156 
512 172 69 14600187 
512 173 68 14600187 
512 175 68 14600203 
512 178 68 14600218 
512 182 68 14600218 
512 190 68 14600234 
512 205 68 14600250 
512 225 68 14600250 
512 257 68 14600265 
512 305 66 14600281 
512 353 63 14600281 
512 404 58 14600296 
512 446 52 14600312 
512 482 46 14600312 
512 502 44 14600328 
512 516 43 14600343 
512 521 42 14600343 
512 523 41 14600359 
512 524 41 14600421 
512 527 41 14600437 
512 528 41 14600437 
512 530 41 14600453 
512 531 41 14600468 
512 531 41 14600484 
512 533 41 14600500 
512 538 42 14600500 
512 546 45 14600515 
512 557 48 14600531 
512 570 52 14600531 
512 576 54 14600546 
512 581 55 14600562 
512 585 56 14600578 
512 587 56 14600578 
512 587 56 14600593 
512 588 56 14600609 
512 588 56 14600687 
512 588 57 14600703 
512 588 57 14600718 
512 586 58 14600718 
512 585 58 14600734 
512 582 60 14600750 
512 580 60 14600750 
512 580 60 14600765 
512 579 60 14600781 
512 579 60 14600843 
513 579 60 14600890 
512 579 60 14600984 
514 579 60 14600984 
512 579 60 14601015 
512 579 61 14601015 
512 579 62 14601031 
512 579 64 14601046 
512 576 69 14601046 
512 572 76 14601062 
512 568 86 14601078 
512 561 101 14601078 
512 547 126 14601093 
512 533 152 14601109 
512 509 188 14601109 
512 480 224 14601125 
512 454 251 14601140 
512 425 277 14601140 
512 395 298 14601156 
512 374 310 14601171 
512 359 318 14601171 
512 348 325 14601187 
512 338 331 14601203 
512 331 337 14601203 
512 318 347 14601218 
512 301 368 14601234 
512 285 380 14601250 
512 267 392 14601250 
512 253 404 14601265 
512 245 412 14601281 
512 237 420 14601281 
512 230 427 14601296 
512 223 434 14601312 
512 214 444 14601312 
512 204 454 14601328 
512 197 461 14601343 
512 188 469 14601343 
512 178 478 14601359 
512 171 485 14601375 
512 167 490 14601375 
512 162 497 14601390 
512 155 504 14601406 
512 148 512 14601406 
512 142 519 14601421 
512 136 526 14601437 
512 129 534 14601437 
512 124 540 14601453 
512 118 546 14601468 
512 113 549 14601484 
512 109 553 14601484 
512 106 555 14601500 
512 105 556 14601515 
512 104 557 14601515 
512 103 558 14601531 
512 101 560 14601546 
512 98 562 14601546 
512 90 567 14601562 
512 84 571 14601578 
