514 281 166 14527562 0.000000
513 178 159 14520718 891.000000
514 156 65 14521375 828.000000
514 169 166 14528250 1015.000000
514 574 453 14525343 766.000000
513 177 68 14515437 672.000000
513 265 152 14520046 437.000000
514 200 91 14526609 672.000000
513 573 63 14516328 657.000000
514 570 69 14522218 843.000000
513 557 475 14518937 953.000000
514 551 80 14524156 985.000000
513 568 69 14518171 1187.000000
513 64 563 14517156 1266.000000
513 209 102 14519609 953.000000
514 88 572 14523171 688.000000
