513 265 152 14520046 0.000000 0.000000
514 265 152 14520140 0.000000 0.000000
512 265 153 14520187 0.021277 0.000453
512 263 154 14520203 0.139754 0.007405
512 259 155 14520218 0.274874 0.009008
512 251 156 14520234 0.503891 0.014314
512 233 158 14520250 1.131923 0.039252
512 227 160 14520265 0.421637 -0.047352
512 221 161 14520281 0.380173 -0.002592
512 220 161 14520296 0.066667 -0.020900
512 217 161 14520312 0.187500 0.007552
512 215 161 14520328 0.125000 -0.003906
512 209 159 14520343 0.421637 0.019776
512 203 159 14520359 0.375000 -0.002915
512 196 159 14520375 0.437500 0.003906
512 193 159 14520390 0.200000 -0.015833
512 192 159 14520421 0.032258 -0.005411
512 191 159 14520453 0.031250 -0.000032
512 191 159 14520468 0.000000 -0.002083
512 190 159 14520484 0.062500 0.003906
512 189 159 14520500 0.062500 0.000000
512 188 159 14520515 0.066667 0.000278
512 185 159 14520531 0.187500 0.007552
512 184 159 14520609 0.012821 -0.002239
512 180 159 14520625 0.250000 0.014824
512 178 159 14520640 0.133333 -0.007778
513 178 159 14520718 0.000000 -0.001709
514 178 159 14520812 0.000000 0.000000
512 178 157 14520859 0.042553 0.000905
512 177 151 14520875 0.380173 0.021101
512 176 145 14520890 0.405517 0.001690
512 174 140 14520906 0.336573 -0.004309
512 173 129 14520921 0.736357 0.026652
512 172 123 14520937 0.380173 -0.022262
512 169 113 14520953 0.652519 0.017022
512 168 107 14520968 0.405517 -0.016467
512 167 96 14520984 0.690335 0.017801
512 167 91 14521000 0.312500 -0.023615
512 165 84 14521015 0.485341 0.011523
512 163 81 14521031 0.225347 -0.016250
512 160 74 14521046 0.507718 0.018825
512 159 71 14521062 0.197642 -0.019380
512 157 68 14521078 0.225347 0.001732
512 157 68 14521093 0.000000 -0.015023
512 156 67 14521125 0.044194 0.001381
512 156 66 14521156 0.032258 -0.000385
513 199 100 14574031 0.000000 0.000000
514 199 100 14574125 0.000000 0.000000
512 199 99 14574203 0.012821 0.000164
512 204 101 14574218 0.359011 0.023079
512 208 105 14574234 0.353553 -0.000341
512 220 113 14574250 0.901388 0.034240
512 224 117 14574265 0.377124 -0.034951
512 230 123 14574281 0.530330 0.009575
512 233 126 14574296 0.282843 -0.016499
512 239 136 14574312 0.728869 0.027877
512 242 141 14574328 0.364434 -0.022777
512 254 150 14574343 1.000000 0.042371
512 257 153 14574359 0.265165 -0.045927
512 261 157 14574375 0.353553 0.005524
512 261 158 14574390 0.066667 -0.019126
512 261 158 14574406 0.000000 -0.004167
512 262 160 14574421 0.149071 0.009938
512 262 161 14574437 0.062500 -0.005411
512 262 162 14574468 0.032258 -0.000976
512 262 162 14574484 0.000000 -0.002016
512 262 163 14574500 0.062500 0.003906
512 264 164 14574531 0.072131 0.000311
513 264 164 14574718 0.000000 -0.000386
514 264 164 14574796 0.000000 0.000000
512 262 165 14574875 0.028305 0.000358
512 252 166 14574890 0.669992 0.042779
512 246 167 14574906 0.380173 -0.018114
512 240 169 14574921 0.421637 0.002764
512 232 169 14574937 0.500000 0.004898
512 232 169 14574953 0.000000 -0.031250
512 231 169 14574968 0.066667 0.004444
512 230 169 14574984 0.062500 -0.000260
512 224 169 14575000 0.375000 0.019531
512 216 169 14575015 0.533333 0.010556
512 199 169 14575031 1.062500 0.033073
512 194 169 14575046 0.333333 -0.048611
512 191 169 14575062 0.187500 -0.009115
512 190 168 14575078 0.088388 -0.006194
512 190 168 14575125 0.000000 -0.001881
512 187 168 14575140 0.200000 0.013333
512 181 168 14575156 0.375000 0.010937
512 181 167 14575171 0.066667 -0.020556
512 181 167 14575218 0.000000 -0.001418
512 180 167 14575234 0.062500 0.003906
513 560 473 14603656 0.000000 -0.002889
514 560 473 14603765 0.000000 0.000000
512 557 473 14603968 0.014778 0.000073
512 554 473 14603984 0.187500 0.010795
512 551 472 14604000 0.197642 0.000634
512 543 463 14604015 0.802773 0.040342
512 499 432 14604031 3.363987 0.160076
512 456 409 14604046 3.250983 -0.007534
512 390 359 14604062 5.175060 0.120255
512 361 333 14604078 2.434293 -0.171298
512 327 282 14604093 4.086291 0.110133
512 314 257 14604109 1.761125 -0.145323
512 300 215 14604125 2.766993 0.062867
512 293 197 14604140 1.287547 -0.098630
512 28
